MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
164,2.01001E+11,"구로구,0.046",0.001,0.8,0.006,34,26,NA
165,2.01001E+11,"구로구,0.048",0.001,0.8,0.006,38,23,NA
166,2.01001E+11,"구로구,0.048",0.001,0.9,0.006,29,37,NA
167,2.01001E+11,"구로구,0.045",0.001,0.8,0.005,42,27,NA
168,2.01001E+11,"구로구,0.044",0.001,0.8,0.005,44,32,NA
169,2.01001E+11,"금천구,0.024",0.009,0.4,0.003,18,6,NA
170,2.01001E+11,"금천구,0.024",0.009,0.4,0.004,23,17,NA
171,2.01001E+11,"금천구,0.016",0.019,0.4,0.004,22,17,NA
172,2.01001E+11,"금천구,0.019",0.015,0.4,0.004,31,17,NA
173,2.01001E+11,"금천구,0.027",0.005,0.5,0.005,25,21,NA
174,2.01001E+11,"금천구,0.029",0.002,0.5,0.004,24,19,NA
175,2.01001E+11,"금천구,0.029",0.002,0.6,0.005,25,27,NA
176,2.01001E+11,"금천구,0.033",0.002,0.7,0.004,31,22,NA
177,2.01001E+11,"금천구,0.034",0.002,0.7,0.004,31,23,NA
178,2.01001E+11,"금천구,0.036",0.003,0.8,0.004,33,19,NA
179,2.01001E+11,"금천구,0.034",0.006,0.8,0.004,45,6,NA
180,2.01001E+11,"금천구,0.027",0.01,0.6,0.005,30,27,NA
181,2.01001E+11,"금천구,0.023",0.013,0.5,0.005,30,23,NA
182,2.01001E+11,"금천구,0.022",0.016,0.5,0.005,32,27,NA
183,2.01001E+11,"금천구,0.023",0.016,0.5,0.005,38,32,NA
184,2.01001E+11,"금천구,0.025",0.014,0.5,0.006,39,28,NA
185,2.01001E+11,"금천구,0.025",0.013,0.5,0.006,37,26,NA
186,2.01001E+11,"금천구,0.032",0.007,0.6,0.006,35,26,NA
187,2.01001E+11,"금천구,0.033",0.003,0.6,0.006,44,25,NA
188,2.01001E+11,"금천구,0.033",0.003,0.6,0.004,35,28,NA
189,2.01001E+11,"금천구,0.036",0.003,0.6,0.005,34,26,NA
190,2.01001E+11,"금천구,0.035",0.003,0.6,0.005,38,26,NA
191,2.01001E+11,"금천구,0.037",0.004,0.6,0.004,37,22,NA
192,2.01001E+11,"금천구,0.036",0.003,0.6,0.005,36,31,NA
193,2.01001E+11,"노원구,0.021",0.014,0.3,0.007,21,12,NA
194,2.01001E+11,"노원구,0.015",0.02,0.3,0.007,22,13,NA
195,2.01001E+11,"노원구,0.018",0.017,0.4,0.006,27,20,NA
196,2.01001E+11,"노원구,0.021",0.014,0.4,0.007,25,307,NA
197,2.01001E+11,"노원구,0.025",0.011,0.4,0.008,28,18,NA
198,2.01001E+11,"노원구,0.022",0.012,0.4,0.008,28,20,NA
